id,item_code,stock_id,description,category_id,quantity,is_foreign,inactive
121,HFFLO86,HFFLO86,"Previda,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
122,HFFLO87,HFFLO87,"Previda,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
123,HFFLO88,HFFLO88,"Previda,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
124,HFFLO89,HFFLO89,"Revival,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
125,HFFLO90,HFFLO90,"Revival,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
126,HFFLO91,HFFLO91,"Revival,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
127,HFFLO92,HFFLO92,"Revival,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
128,HFFLO93,HFFLO93,"Rosa Mix,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
129,HFFLO94,HFFLO94,"Rosa Mix,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
130,HFFLO95,HFFLO95,"Rosa Mix,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
131,HFFLO96,HFFLO96,"Rosa Mix,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
132,HFFLO97,HFFLO97,"Sunny Confidential,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
133,HFFLO98,HFFLO98,"Sunny Confidential,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
134,HFFLO99,HFFLO99,"Sunny Confidential,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
