id,item_code,stock_id,description,category_id,quantity,is_foreign,inactive
259,HFPM11,HFPM11,Heritage Soliq STD Boxes(Generic) Size 990x330x200,1,1,1,0
260,HFPM12,HFPM12,Bopp Plain 50x30x12,1,1,1,0
261,HFPM13,HFPM13,Zein Box(100x39x25),1,1,1,0
262,HFPM14,HFPM14,Brown SFK 6 (pcs),1,1,1,0
263,HFPM15,HFPM15,Clear Sleeves 50x30x12,1,1,1,0
264,HFPM16,HFPM16,Clear Sleeves 60x30x12,1,1,1,0
265,HFPM17,HFPM17,Clear Sleeves 40x30x12,1,1,1,0
266,HFPM18,HFPM18,Standard Flower Boxes top and bottom,1,1,1,0
267,HFPM19,HFPM19,Flight Colors,1,1,1,0
268,HFPM20,HFPM20,Heritage Sleeves 50x30x12,1,1,1,0
269,HFPM21,HFPM21,Printed Heritage Sleeve 60x30x12,1,1,1,0
270,HFPM22,HFPM22,Printing Labels 4 Inch x 3 Inch,1,1,1,0
271,HFPM23,HFPM23,Plain Label 70*99,1,1,1,0
272,HFPM24,HFPM24,Rubber Bands/Kg,1,1,1,0
273,HFPM25,HFPM25,Truck Seals,1,1,1,0
274,HFPM26,HFPM26,Printed Standard Flower Boxes 5Ply Top and Bottom,1,1,1,0
275,HFPM27,HFPM27,Strapping roll,1,1,1,0
276,HFPM28,HFPM28,Thermal Roll,1,1,1,0
277,HFPM29,HFPM29,White Flute Green Size 200,1,1,1,0
278,HFPM30,HFPM30,White SFK Size 6 (Pcs),1,1,1,0
279,HFPM31,HFPM31,ZIMBOX(Flower Flow) Box,1,1,1,0
280,HFPM32,HFPM32,"Printed ZIM BOXES 100X39X25, 5Ply Top and Bottom",1,1,1,0
281,HFPM33,HFPM33,Heritage Flowers Soliq ZIM Bot size 985X375X245MM,1,1,1,0
282,HFPM34,HFPM34,Zim Boxes Size 100x39x25 Top 3Ply Bottom 5Ply,1,1,1,0
283,HFPM35,HFPM35,Heritage Flowers Soliq ZIM Tops size 1000x390x250,1,1,1,0
284,HFPM36,HFPM36,Clear Tapes 12mm X 50mm,1,1,1,0
285,HFPM37,HFPM37,Clear Sleeves 70x30x12,1,1,1,0
286,HFPM38,HFPM38,Zim Box Top & Bottom 5 Ply White 2 Color Printed,1,1,1,0
287,HFPPE01,HFPPE01,Red Dust Coats,1,1,1,0
288,HFPPE02,HFPPE02,PVC Hand Gloves,1,1,1,0
289,HFPPE03,HFPPE03,Cold Store/Pack house Gloves,1,1,1,0
290,HFPPE04,HFPPE04,Spray Suits,1,1,1,0
291,HFPPE05,HFPPE05,Googles,1,1,1,0
292,HFPPE06,HFPPE06,Respiratory Catridges,1,1,1,0
293,HFPPE07,HFPPE07,Leather Gloves,1,1,1,0
294,HFPPE08,HFPPE08,Dust Masks,1,1,1,0
295,HFSE001,HFSE001,Victoria Seeds,1,1,1,0
296,HFSE002,HFSE002,Serenade Seeds,1,1,1,0
297,HFSE003,HFSE003,Habanero Seeds,1,1,1,0
298,HFST01,HFST01,A5 Hard Cover 200 Pgs,1,1,1,0
299,HFST02,HFST02,A6 Pocket Note Books,1,1,1,0
300,HFST03,HFST03,Canon BK GL 490 BK,1,1,1,0
301,HFST04,HFST04,Kangaroo Stapler DS-435,1,1,1,0
302,HFST05,HFST05,Envelopes A5,1,1,1,0
303,HFST06,HFST06,Envelopes A4,1,1,1,0
304,HFST07,HFST07,Box File,1,1,1,0
305,HFST08,HFST08,Highlighter Pen,1,1,1,0
306,HFST09,HFST09,Hp Ink Cartridge,1,1,1,0
307,HFST10,HFST10,HP Toner W200A,1,1,1,0
308,HFST11,HFST11,Office Calculators,1,1,1,0
309,HFST12,HFST12,Kangaroo Paper Punch,1,1,1,0
310,HFST13,HFST13,Printing Papers,1,1,1,0
311,HFST14,HFST14,2 Quire Book Counter,1,1,1,0
312,HFST15,HFST15,Stapler HD 45,1,1,1,0
313,HFST16,HFST16,Staple pins 24/6,1,1,1,0
314,HFST17,HFST17,Staple pins 73/12,1,1,1,0
315,HFST18,HFST18,GRN Books,1,1,1,0
316,HFST19,HFST19,Permanent Mark Pens,1,1,1,0
317,HFST20,HFST20,Biro Pens,1,1,1,0
318,HFST21,HFST21,Stores Requisition Books,1,1,1,0
319,Security Services,Security Services,Security Services,1,1,1,0
320,Total Boxes,Total Boxes,Total Boxes-,1,1,1,0
321,Total Stems,Total Stems,Total Stems-,1,1,1,0
322,XERO,XERO,XERO,1,1,1,0
323,XX,XX,NONE,1,1,1,0
324,XXX,XXX,None,1,1,1,0
325,XXX.,XXX.,NONE,1,1,1,0
326,XXX..,XXX..,NONE,1,1,1,0
327,XXXX,XXXX,NONE,1,1,1,0
