stock_id,category_id,tax_type_id,description,long_description,units,mb_flag,sales_account,cogs_account,inventory_account,adjustment_account,wip_account,dimension_id,dimension2_id,purchase_cost,material_cost,labour_cost,overhead_cost,inactive,no_sale,no_purchase,editable,depreciation_method,depreciation_rate,depreciation_factor,depreciation_start,depreciation_date,fa_class_id
HFFLO104,1,2,"Top Gear,72cm,0 Boxes,0 Stems Per Box","Top Gear,72cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFLO11,1,2,"Carise,62cm,0 Boxes,0 Stems Per Box","Carise,62cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFLO12,1,2,"Carise,72cm,0 Boxes,0 Stems Per Box","Carise,72cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFLO13,1,2,"Carodanal,42cm,0 Boxes,0 Stems Per Box","Carodanal,42cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFLO14,1,2,"Carodanal,52cm,0 Boxes,0 Stems Per Box","Carodanal,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFLO15,1,2,"Carodanal,62cm,0 Boxes,0 Stems Per Box","Carodanal,62cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFLO16,1,2,"Carodanal,72cm,0 Boxes,0 Stems Per Box","Carodanal,72cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFLO17,1,2,"Copa Cabana,42cm,0 Boxes,0 Stems Per Box","Copa Cabana,42cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFLO18,1,2,"Copa Cabana,52cm,0 Boxes,0 Stems Per Box","Copa Cabana,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFLO19,1,2,"Copa Cabana,62cm,0 Boxes,0 Stems Per Box","Copa Cabana,62cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
