stock_id,category_id,tax_type_id,description,long_description,units,mb_flag,sales_account,cogs_account,inventory_account,adjustment_account,wip_account,dimension_id,dimension2_id,purchase_cost,material_cost,labour_cost,overhead_cost,inactive,no_sale,no_purchase,editable,depreciation_method,depreciation_rate,depreciation_factor,depreciation_start,depreciation_date,fa_class_id
HFFL02,1,,"Athena,52cm,0 Boxes,0 Stems Per Box","Athena,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,,,,,,,,,,,,,
HFFL04,1,,"Athena,72cm,0 Boxes,0 Stems Per Box","Athena,72cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,,,,,,,,,,,,,
HFFL05,1,,"Bellerose,42cm,0 Boxes,0 Stems Per Box","Bellerose,42cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,,,,,,,,,,,,,
HFFL06,1,,"Bellerose,52cm,0 Boxes,0 Stems Per Box","Bellerose,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,,,,,,,,,,,,,
HFFL10,1,,"Carise,52cm,0 Boxes,0 Stems Per Box","Carise,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,,,,,,,,,,,,,
HFFL101,1,,"Top Gear,42cm,0 Boxes,0 Stems Per Box","Top Gear,42cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,,,,,,,,,,,,,
HFFL102,1,,"Top Gear,52cm,0 Boxes,0 Stems Per Box","Top Gear,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,,,,,,,,,,,,,
HFFL17,1,,"Copa Cabana,42cm,0 Boxes,0 Stems Per Box","Copa Cabana,42cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,,,,,,,,,,,,,
HFFL18,1,,"Copa Cabana,52cm,0 Boxes,0 Stems Per Box","Copa Cabana,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,,,,,,,,,,,,,
HFFL21,1,,"Event,42cm,0 Boxes,0 Stems Per Box","Event,42cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,,,,,,,,,,,,,
HFFL30,1,,"High & Magic,52cm,0 Boxes,0 Stems Per Box","High & Magic,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,,,,,,,,,,,,,
HFFL38,1,,"Jumilla,52cm,0 Boxes,0 Stems Per Box","Jumilla,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,,,,,,,,,,,,,
HFFL42,1,,"Kingsday,52cm,0 Boxes,0 Stems Per Box","Kingsday,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,,,,,,,,,,,,,
HFFL45,1,,"Labelle,42cm,0 Boxes,0 Stems Per Box","Labelle,42cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,,,,,,,,,,,,,
HFFL46,1,,"Labelle,52cm,0 Boxes,0 Stems Per Box","Labelle,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,,,,,,,,,,,,,
HFFL49,1,,"Lampion,42cm,0 Boxes,0 Stems Per Box","Lampion,42cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,,,,,,,,,,,,,
