*ItemCode,ItemName,PurchasesDescription,PurchasesUnitPrice,PurchasesAccount,PurchasesTaxRate,SalesDescription,SalesUnitPrice,SalesAccount,SalesTaxRate,InventoryAssetAccount,CostOfGoodsSoldAccount
HFFLO09,"Carise,42cm,0 Boxes,0 Stems Per Box","Carise,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Carise,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO10,"Carise,52cm,0 Boxes,0 Stems Per Box","Carise,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Carise,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO100,"Sunny Confidential,72cm,0 Boxes,0 Stems Per Box","Sunny Confidential,72cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Sunny Confidential,72cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO101,"Top Gear,42cm,0 Boxes,0 Stems Per Box","Top Gear,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Top Gear,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO102,"Top Gear,52cm,0 Boxes,0 Stems Per Box","Top Gear,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Top Gear,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO103,"Top Gear,62cm,0 Boxes,0 Stems Per Box","Top Gear,62cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Top Gear,62cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO104,"Top Gear,72cm,0 Boxes,0 Stems Per Box","Top Gear,72cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Top Gear,72cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO11,"Carise,62cm,0 Boxes,0 Stems Per Box","Carise,62cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Carise,62cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO12,"Carise,72cm,0 Boxes,0 Stems Per Box","Carise,72cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Carise,72cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO13,"Carodanal,42cm,0 Boxes,0 Stems Per Box","Carodanal,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Carodanal,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO14,"Carodanal,52cm,0 Boxes,0 Stems Per Box","Carodanal,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Carodanal,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO15,"Carodanal,62cm,0 Boxes,0 Stems Per Box","Carodanal,62cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Carodanal,62cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO16,"Carodanal,72cm,0 Boxes,0 Stems Per Box","Carodanal,72cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Carodanal,72cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO17,"Copa Cabana,42cm,0 Boxes,0 Stems Per Box","Copa Cabana,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Copa Cabana,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO18,"Copa Cabana,52cm,0 Boxes,0 Stems Per Box","Copa Cabana,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Copa Cabana,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO19,"Copa Cabana,62cm,0 Boxes,0 Stems Per Box","Copa Cabana,62cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Copa Cabana,62cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO20,"Copa Cabana,72cm,0 Boxes,0 Stems Per Box","Copa Cabana,72cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Copa Cabana,72cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO21,"Event,42cm,0 Boxes,0 Stems Per Box","Event,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Event,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO22,"Event,52cm,0 Boxes,0 Stems Per Box","Event,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Event,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO23,"Event,62cm,0 Boxes,0 Stems Per Box","Event,62cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Event,62cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO24,"Event,72cm,0 Boxes,0 Stems Per Box","Event,72cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Event,72cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO25,"Golden Tower,42cm,0 Boxes,0 Stems Per Box","Golden Tower,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Golden Tower,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO26,"Golden Tower,52cm,0 Boxes,0 Stems Per Box","Golden Tower,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Golden Tower,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO27,"Golden Tower,62cm,0 Boxes,0 Stems Per Box","Golden Tower,62cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Golden Tower,62cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO28,"Golden Tower,72cm,0 Boxes,0 Stems Per Box","Golden Tower,72cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Golden Tower,72cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
